"","x1.mcar","x2.mcar","x3.mcar","y"
"1",0,NA,-9.23277718798448,-11.7175082710282
"2",1,-1.37354937451878,-10.7486291749866,-7.83551848522388
"3",0,NA,-10.5435804464577,-13.6293265207347
"4",1,-0.131859306613732,-9.78131681302411,-9.95828174524928
"5",1,-0.455827365752299,NA,-9.25670888582053
"6",0,NA,-7.77103735943199,-10.1948645194859
"7",1,2.03788392520546,NA,-13.3768252293416
"8",0,2.69786088319711,NA,-12.4861154930827
"9",0,0.489861719986399,-10.2341849332959,-12.0977416022075
"10",0,-0.617217490309622,NA,-11.4102000682685
"11",NA,1.22624873153644,NA,-12.5276048026359
"12",1,NA,-10.5762158551314,-12.6244685480515
"13",0,NA,NA,-12.7738295280405
"14",0,-0.573585006097951,NA,-11.3324310288604
"15",1,0.748667631891251,NA,-12.2016575346043
"16",1,-0.226196342025449,NA,-11.5961541515994
"17",0,0.667969657846798,NA,-10.4004329646971
"18",0,NA,-10.7054169440472,-12.237572753725
"19",0,2.35813626745276,NA,-14.9381680589732
"20",0,NA,-9.74306582828459,-12.692035213316
"21",0,-0.419617292629302,-10.9220096440574,-12.0722472057242
"22",1,0.577970885681946,-9.46714307253965,-10.1939440087465
"23",1,-1.53087475379848,NA,-8.16214141764775
"24",NA,NA,-9.1922301213695,-9.34720935641037
"25",0,0.0521255295294704,NA,-11.428174475134
"26",1,-0.5337950097073,-8.98680549433766,-8.28072547132084
"27",0,0.664542504034727,-9.8424440925521,-8.72471113453087
"28",NA,0.376672725233607,-9.85791095860945,-10.7438231421358
"29",0,-0.0974091857658971,-10.945818138647,-11.1113234991698
"30",1,-0.567303557850119,-9.22665118814964,-8.59694026848622
"31",0,-0.558616602952203,NA,-11.2469766082699
"32",0,0.330618140807489,-10.6238291655539,-11.5641198539467
"33",NA,-1.12599736048975,-10.1231904664119,-8.33513378749466
"34",1,0.733789192632358,-11.542077828348,-12.2324194386971
"35",0,0.26456260446532,-8.51622010693333,-9.5084448400482
"36",NA,0.854055897932801,NA,-11.3553237431956
"37",NA,3.47877015682895,-10.1339533433592,-11.7681926867066
"38",0,-0.0782204026543023,-10.9878236746189,-9.89347802995655
"39",0,0.768486300060894,NA,-10.0301495156568
"40",0,0.733092807482361,-10.7388814672284,-15.7506744672495
"41",0,NA,-10.3103721893869,-13.7763924084547
"42",1,NA,NA,-7.59888833163879
"43",0,-0.558035372586544,-9.65150713834972,-9.53138713462143
"44",0,1.77821593060309,-10.7832118632313,-14.3543097125135
"45",NA,2.13698898560829,NA,-12.0075553471363
"46",1,0.0215072934657101,-10.4748847952012,-10.0903230319053
"47",1,NA,NA,-12.1798406516328
"48",NA,NA,-7.97942068727247,-8.56637943806925
"49",1,-0.334101117261575,NA,-9.55872286573459
"50",0,-0.476697270598196,-8.43983075502832,-9.33802179359086
"51",0,0.158800256285694,-10.9430308377525,-11.1869170745116
"52",0,1.35995703212017,NA,-13.8250244406648
"53",0,0.800554440311648,-10.0060983083903,-11.6356145806598
"54",0,-0.446380801822883,-10.9041319367925,-11.9959263538049
"55",NA,-0.290883700214288,-10.0604531584398,-10.5272754871538
"56",1,-0.445520979854795,NA,-11.0453274450696
"57",1,NA,NA,-8.67626393647114
"58",0,-1.13787467222248,-9.96959154831023,-9.20513821860401
"59",0,NA,-11.4033978345051,-13.0981403504855
"60",0,0.0953717872373957,-7.47456764499166,-10.2029835873915
"61",0,0.195069923770984,-11.2818862106807,-12.8616502812531
"62",1,-1.47394069269385,-10.5602194812694,-11.5810462313311
"63",1,NA,NA,-8.34228878035271
